"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Arizona"	"04"	"2006"	"2006"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	560
	"Arkansas"	"05"	"2003"	"2003"	"Married"	"1"	"0 -  8 years"	"19176"	926
	"Arkansas"	"05"	"2003"	"2003"	"Married"	"1"	"9 - 11 years"	"19177"	2347
	"Arkansas"	"05"	"2003"	"2003"	"Married"	"1"	"12 years"	"19178"	8179
	"Arkansas"	"05"	"2003"	"2003"	"Married"	"1"	"13 - 15 years"	"19179"	5332
	"Arkansas"	"05"	"2003"	"2003"	"Married"	"1"	"16 years and over"	"16+"	6528
	"Arkansas"	"05"	"2003"	"2003"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	114
	"Arkansas"	"05"	"2003"	"2003"	"Unmarried"	"2"	"0 -  8 years"	"19176"	844
	"Arkansas"	"05"	"2003"	"2003"	"Unmarried"	"2"	"9 - 11 years"	"19177"	4167
	"Arkansas"	"05"	"2003"	"2003"	"Unmarried"	"2"	"12 years"	"19178"	6644
	"Arkansas"	"05"	"2003"	"2003"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2129
	"Arkansas"	"05"	"2003"	"2003"	"Unmarried"	"2"	"16 years and over"	"16+"	463
	"Arkansas"	"05"	"2003"	"2003"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	111
	"Arkansas"	"05"	"2004"	"2004"	"Married"	"1"	"0 -  8 years"	"19176"	972
	"Arkansas"	"05"	"2004"	"2004"	"Married"	"1"	"9 - 11 years"	"19177"	2292
	"Arkansas"	"05"	"2004"	"2004"	"Married"	"1"	"12 years"	"19178"	8069
	"Arkansas"	"05"	"2004"	"2004"	"Married"	"1"	"13 - 15 years"	"19179"	5243
	"Arkansas"	"05"	"2004"	"2004"	"Married"	"1"	"16 years and over"	"16+"	6586
	"Arkansas"	"05"	"2004"	"2004"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	433
	"Arkansas"	"05"	"2004"	"2004"	"Unmarried"	"2"	"0 -  8 years"	"19176"	886
	"Arkansas"	"05"	"2004"	"2004"	"Unmarried"	"2"	"9 - 11 years"	"19177"	4147
	"Arkansas"	"05"	"2004"	"2004"	"Unmarried"	"2"	"12 years"	"19178"	6893
	"Arkansas"	"05"	"2004"	"2004"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2261
	"Arkansas"	"05"	"2004"	"2004"	"Unmarried"	"2"	"16 years and over"	"16+"	499
